Region,2024 (current prices),Unnamed: 39,Omitted countries,year,value
World,2718.18371875139,,,2002,1359.177225823913
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",2002,27.821577848999244
North Africa,30.201147045776676,,,2002,6.713551724249054
sub-Saharan Africa,21.851767848375367,,,2002,21.1080261247502
Americas,1100.039531310176,,Cuba,2002,698.3432403410561
Central America and the Caribbean,19.781283367512405,,,2002,5.79654997920095
North America,1026.655897810219,,,2002,656.6156965763975
South America,53.602350132444535,,,2002,35.9309937854577
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",2002,212.96952129817865
Oceania,36.98674327781575,,,2002,19.01614016102454
South Asia,102.3815205919318,,,2002,40.12028541838741
East Asia,433.1594053700567,,,2002,129.8712255259186
South East Asia,54.86528321337011,,,2002,23.3496787728658
Central Asia,1.9284080397939944,,,2002,0.6121914199823751
Europe,693.4417221375255,,,2002,329.4668886609908
Central Europe,74.9747613412554,,,2002,24.227097728171735
Eastern Europe,221.0853464281265,,,2002,31.265852316458457
Western Europe,397.3816143681436,,,2002,273.9739386163606
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",2002,90.57599767468825
World,2718.18371875139,,,2003,1459.7752456763387
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",2003,24.30740893589973
North Africa,30.201147045776676,,,2003,6.956694700121452
sub-Saharan Africa,21.851767848375367,,,2003,17.350714235778277
Americas,1100.039531310176,,Cuba,2003,784.2071606752373
Central America and the Caribbean,19.781283367512405,,,2003,5.7334379482671425
North America,1026.655897810219,,,2003,745.479338325217
South America,53.602350132444535,,,2003,32.994384401752995
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",2003,222.22187073266102
Oceania,36.98674327781575,,,2003,19.301076433127797
South Asia,102.3815205919318,,,2003,41.12111054869247
East Asia,433.1594053700567,,,2003,135.3358177362078
South East Asia,54.86528321337011,,,2003,25.740090057454083
Central Asia,1.9284080397939944,,,2003,0.7237759571788566
Europe,693.4417221375255,,,2003,336.9608861205768
Central Europe,74.9747613412554,,,2003,24.74437546084786
Eastern Europe,221.0853464281265,,,2003,33.076063472217726
Western Europe,397.3816143681436,,,2003,279.14044718751114
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",2003,92.07791921196352
World,2718.18371875139,,,2004,1557.316393825075
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",2004,29.993693723348006
North Africa,30.201147045776676,,,2004,7.577499253777797
sub-Saharan Africa,21.851767848375367,,,2004,22.416194469570215
Americas,1100.039531310176,,Cuba,2004,851.5108774566316
Central America and the Caribbean,19.781283367512405,,,2004,5.372664145430452
North America,1026.655897810219,,,2004,811.6902648865982
South America,53.602350132444535,,,2004,34.44794842460284
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",2004,236.13419404937798
Oceania,36.98674327781575,,,2004,19.905529168290315
South Asia,102.3815205919318,,,2004,46.81698337861452
East Asia,433.1594053700567,,,2004,142.57673641062078
South East Asia,54.86528321337011,,,2004,26.014456905684312
Central Asia,1.9284080397939944,,,2004,0.8204881861681459
Europe,693.4417221375255,,,2004,341.25903837222097
Central Europe,74.9747613412554,,,2004,24.673711241559136
Eastern Europe,221.0853464281265,,,2004,34.80346199049244
